# airline,from,to,codeshare,stops,latfrom,longfrom,latto,longto,distance,Band_BA,Band_BA_gen,BA_pct
AA,BOS,CLT,NA,0,42.36429977,-71.00520325,35.2140007019043,-80.94309997558594,728.2384779776582,2,2,15
AA,BOS,DCA,NA,0,42.36429977,-71.00520325,38.8521,-77.037697,399.0392974674485,1,1,61
AA,BOS,DCA,*,0,42.36429977,-71.00520325,38.8521,-77.037697,399.0392974674485,1,1,61
AA,BOS,DFW,NA,0,42.36429977,-71.00520325,32.896801,-97.038002,1560.9335973597435,3,3,48
AA,BOS,JFK,NA,0,42.36429977,-71.00520325,40.63980103,-73.77890015,186.73085294635476,1,1,28.999999999999996
AA,BOS,JFK,*,0,42.36429977,-71.00520325,40.63980103,-73.77890015,186.73085294635476,1,1,28.999999999999996
AA,BOS,LAX,NA,0,42.36429977,-71.00520325,33.94250107,-118.4079971,2608.3453660456657,4,4,61
AA,BOS,LGA,NA,0,42.36429977,-71.00520325,40.77719879,-73.87259674,184.56237039684962,1,1,28.000000000000004
AA,BOS,MDT,*,0,42.36429977,-71.00520325,40.1935005188,-76.7633972168,334.7734858356988,1,1,51
AA,BOS,MIA,NA,0,42.36429977,-71.00520325,25.79319953918457,-80.29060363769531,1261.7272093405359,3,3,13
AA,BOS,ORD,NA,0,42.36429977,-71.00520325,41.9786,-87.9048,865.3440433277117,2,2,43
AA,BOS,PHL,NA,0,42.36429977,-71.00520325,39.87189865112305,-75.24109649658203,280.01850167779304,1,1,43
AA,BOS,PHX,NA,0,42.36429977,-71.00520325,33.43429946899414,-112.01200103759766,2297.7761013325326,4,4,30
AA,BOS,ROC,*,0,42.36429977,-71.00520325,43.118900299072266,-77.67240142822266,342.5995914247564,1,1,53
AA,BOS,SYR,*,0,42.36429977,-71.00520325,43.11119842529297,-76.1063003540039,264.20871878110404,1,1,41
AA,CLT,ABE,*,0,35.2140007019043,-80.94309997558594,40.652099609375,-75.44080352783203,481.03032470072054,1,1,74
AA,CLT,AGS,*,0,35.2140007019043,-80.94309997558594,33.36989974975586,-81.9645004272461,140.27593714971596,1,1,22
AA,CLT,ALB,NA,0,35.2140007019043,-80.94309997558594,42.74829864501953,-73.80169677734375,646.7959411432468,1,1,99
AA,CLT,ALB,*,0,35.2140007019043,-80.94309997558594,42.74829864501953,-73.80169677734375,646.7959411432468,1,1,99
AA,CLT,ATL,NA,0,35.2140007019043,-80.94309997558594,33.6367,-84.428101,226.7851875460067,1,1,35
AA,CLT,ATL,*,0,35.2140007019043,-80.94309997558594,33.6367,-84.428101,226.7851875460067,1,1,35
AA,CLT,AUA,NA,0,35.2140007019043,-80.94309997558594,12.5014,-70.015198,1713.430788595758,3,3,66
AA,CLT,AUS,NA,0,35.2140007019043,-80.94309997558594,30.194499969482422,-97.6698989868164,1032.0291805343247,2,2,76
AA,CLT,AUS,*,0,35.2140007019043,-80.94309997558594,30.194499969482422,-97.6698989868164,1032.0291805343247,2,2,76
AA,CLT,AVL,*,0,35.2140007019043,-80.94309997558594,35.43619918823242,-82.54180145263672,91.52181037292766,1,1,14.000000000000002
AA,CLT,AVP,*,0,35.2140007019043,-80.94309997558594,41.338500976599995,-75.72339630130001,509.47319294122,1,1,78
AA,CLT,BDL,NA,0,35.2140007019043,-80.94309997558594,41.9388999939,-72.68319702149999,644.2716237008983,1,1,99
AA,CLT,BDL,*,0,35.2140007019043,-80.94309997558594,41.9388999939,-72.68319702149999,644.2716237008983,1,1,99
AA,CLT,BGI,NA,0,35.2140007019043,-80.94309997558594,13.0746002197,-59.4925003052,2034.17007077202,4,4,3
AA,CLT,BHM,*,0,35.2140007019043,-80.94309997558594,33.56290054,-86.75350189,350.71052954894157,1,1,54
AA,CLT,BNA,NA,0,35.2140007019043,-80.94309997558594,36.1245002746582,-86.6781997680664,328.32118711846164,1,1,50
AA,CLT,BNA,*,0,35.2140007019043,-80.94309997558594,36.1245002746582,-86.6781997680664,328.32118711846164,1,1,50
AA,CLT,BTR,*,0,35.2140007019043,-80.94309997558594,30.533199,-91.149597,675.0501839867567,2,1,5
AA,CLT,BTV,*,0,35.2140007019043,-80.94309997558594,44.471900939899996,-73.15329742429999,761.5630925585962,2,2,22
AA,CLT,BUF,NA,0,35.2140007019043,-80.94309997558594,42.94049835,-78.73220062,547.4153847135534,1,1,84
AA,CLT,BWI,NA,0,35.2140007019043,-80.94309997558594,39.1754,-76.668297,361.239468168067,1,1,55.00000000000001
AA,CLT,CAE,*,0,35.2140007019043,-80.94309997558594,33.93880081176758,-81.11949920654297,88.77672620328156,1,1,14.000000000000002
AA,CLT,CAK,*,0,35.2140007019043,-80.94309997558594,40.916099548339844,-81.44219970703125,395.3513991762927,1,1,61
AA,CLT,CHA,*,0,35.2140007019043,-80.94309997558594,35.035301208496094,-85.20379638671875,241.34644650272938,1,1,37
AA,CLT,CHO,*,0,35.2140007019043,-80.94309997558594,38.13859939575195,-78.4529037475586,244.94173141311342,1,1,38
AA,CLT,CHS,NA,0,35.2140007019043,-80.94309997558594,32.89860153,-80.04049683,168.30084795563212,1,1,26
AA,CLT,CHS,*,0,35.2140007019043,-80.94309997558594,32.89860153,-80.04049683,168.30084795563212,1,1,26
AA,CLT,CID,*,0,35.2140007019043,-80.94309997558594,41.884700775146484,-91.71080017089844,742.0932286126293,2,2,18
AA,CLT,CLE,NA,0,35.2140007019043,-80.94309997558594,41.4117012024,-81.8498001099,431.50655414747956,1,1,66
AA,CLT,CLE,*,0,35.2140007019043,-80.94309997558594,41.4117012024,-81.8498001099,431.50655414747956,1,1,66
AA,CLT,CMH,*,0,35.2140007019043,-80.94309997558594,39.998001,-82.891899,347.6907321622413,1,1,53
AA,CLT,CMI,*,0,35.2140007019043,-80.94309997558594,40.03919983,-88.27809906,522.0374141381191,1,1,80
AA,CLT,CRW,*,0,35.2140007019043,-80.94309997558594,38.37310028076172,-81.59320068359375,221.46238247526554,1,1,34
AA,CLT,CUN,NA,0,35.2140007019043,-80.94309997558594,21.036500930800003,-86.8770980835,1044.736952515509,2,2,79
AA,CLT,CUR,NA,0,35.2140007019043,-80.94309997558594,12.1889,-68.959801,1760.6683282543963,3,3,72
AA,CLT,CVG,*,0,35.2140007019043,-80.94309997558594,39.0488014221,-84.6678009033,335.4152520968883,1,1,52
AA,CLT,CZM,NA,0,35.2140007019043,-80.94309997558594,20.52239990234375,-86.92559814453125,1079.428677782521,2,2,86
AA,CLT,DAB,*,0,35.2140007019043,-80.94309997558594,29.179899,-81.058098,417.4372443374628,1,1,64
AA,CLT,DAY,*,0,35.2140007019043,-80.94309997558594,39.902400970458984,-84.21939849853516,370.66458694986653,1,1,56.99999999999999
AA,CLT,DCA,NA,0,35.2140007019043,-80.94309997558594,38.8521,-77.037697,331.3357285110459,1,1,51
AA,CLT,DCA,*,0,35.2140007019043,-80.94309997558594,38.8521,-77.037697,331.3357285110459,1,1,51
AA,CLT,DEN,NA,0,35.2140007019043,-80.94309997558594,39.861698150635,-104.672996521,1336.3258184939516,3,3,22
AA,CLT,DFW,NA,0,35.2140007019043,-80.94309997558594,32.896801,-97.038002,935.0955446269694,2,2,56.99999999999999
AA,CLT,DSM,*,0,35.2140007019043,-80.94309997558594,41.534000396728516,-93.66310119628906,815.328438563146,2,2,33
AA,CLT,DTW,NA,0,35.2140007019043,-80.94309997558594,42.212398529052734,-83.35340118408203,501.1970200842925,1,1,77
AA,CLT,DTW,*,0,35.2140007019043,-80.94309997558594,42.212398529052734,-83.35340118408203,501.1970200842925,1,1,77
AA,CLT,ECP,*,0,35.2140007019043,-80.94309997558594,30.357106,-85.795414,438.59504237319004,1,1,67
AA,CLT,ELH,*,0,35.2140007019043,-80.94309997558594,25.474899292,-76.6835021973,719.8266601242435,2,2,14.000000000000002
AA,CLT,EVV,*,0,35.2140007019043,-80.94309997558594,38.0369987488,-87.5324020386,414.49916308360224,1,1,64
AA,CLT,EWN,*,0,35.2140007019043,-80.94309997558594,35.0730018616,-77.04290008539999,220.80349145002933,1,1,34
AA,CLT,EWR,NA,0,35.2140007019043,-80.94309997558594,40.692501068115234,-74.168701171875,528.9351684685237,1,1,81
AA,CLT,FAY,*,0,35.2140007019043,-80.94309997558594,34.9911994934082,-78.88030242919922,117.74478926131114,1,1,18
AA,CLT,FLL,NA,0,35.2140007019043,-80.94309997558594,26.072599,-80.152702,634.0567356109473,1,1,97
AA,CLT,FLO,*,0,35.2140007019043,-80.94309997558594,34.18539810180664,-79.7238998413086,99.34306730300683,1,1,15
AA,CLT,FRA,NA,0,35.2140007019043,-80.94309997558594,50.033333,8.570556,4391.46258291898,6,6,26
AA,CLT,FWA,*,0,35.2140007019043,-80.94309997558594,40.97850037,-85.19509888,460.8959618910266,1,1,71
AA,CLT,GCM,NA,0,35.2140007019043,-80.94309997558594,19.292800903299998,-81.3576965332,1101.5722424320406,2,2,90
AA,CLT,GNV,*,0,35.2140007019043,-80.94309997558594,29.6900997162,-82.2717971802,389.8701773576459,1,1,60
